"date","observer","recorder","island","site","forest.type","transect.id","ground.cover","canopy.height.ft","total.vine.cover","site.notes","herbs","herb.notes","vines","vine.notes","num.adult.spp","num.sapling.spp","num.seedling.spp","num.adults","num.saplings","num.seedlings","num.away.conspp","num.under.conspp","subs_avg","light.avg"
"30-Oct-2017","mk, tc","tc","guam","barrigada","mixed_introduced","barrigada.27","fern","33","4",NA,"NA","NA","flagellaria","NA",6,2,5,37,6,12,9,9,2,3.625
"06-Jun-2017","ecf, tc, mk, hr","na","saipan","bird island","mixed_introduced","birdisland.1","na",NA,NA,NA,"NA","NA","NA","NA",6,3,10,31,19,41,18,42,NA,NA
"43126","mk, mf","mf","saipan","capitol hill","mixed_introduced","capitolhill.508","leaf litter","33","2","lots of bird activity, honey creepers, bridles, fantails, fruit doves, starlings","sphagneticola trilobata, grass, ferns, sedge, chromalina","unknown #1, NA, X4 spp., NA, NA","sphagneticola trilobata, jasminum marianum, passiflora subspecies, lantana","unknown #1, 1, 1, 1, 2",6,8,12,42,53,50,54,49,4,6.375
"43125","mk, mf","mf","saipan","capitol hill","mixed_introduced","capitolhill.803","leaf litter, ravina","26","4","cliff wall in part of one side of transect; eugenia adult out of transect & > 2m away","ravina, capsicum frutescens","NA, NA","flagellaria, mikania, unk vine k, jasminum, merremia peltata, abrus","3, 2, 2, 3, 1, 2",8,7,10,28,16,48,31,33,3.66666666666667,1.25
"43140","mf, mk, ecf","mf","saipan","chalan kanoa","mixed_introduced","chlankanoa.1479","ruellia, leaf litter","26","2",NA,"ruellia, sword grass, blechum pyramidatum","NA, NA, opposite, square stem, hairy, serrate edges- blechum pyramidatum","abrus, colombrina, coccinia, unk 3, unknown vine g, passiflora suberosa","NA, NA, NA, 3-leaved, seen before - centrosema pubescens, ipomoea, MF pics, fuzzy, NA",3,2,5,38,66,72,3,135,3.83333333333333,7
"43118","mk, mf","mf","saipan","chalan kanoa","leucaena_thicket","chalankanoa.1502","ravina, leaf litter","64","3","lots of fairy ferns, bridle white eyes, Murraya koenigii (curry bay leaf plant) adult >2m away, but close to transect","rivina, ruellia, blechum pyramidatum","NA, NA, opposite, hairy, toothed margins, curved veins (MK phone and guide)","abrus precatorius, centrosema pubescens, passiflora suberosa, mikania","1, mf phone, 1, 1, 1",10,7,7,77,55,24,16,63,4,4.375
"43139","mf, mk, ecf","mf","saipan","dan dan","mixed_introduced","dandan.1541","ravina, karst","48","2","first 15 m are karsty and native-dominated and nest 10m are leucaena","rivina, ferns, ruellia, sword grass","NA, NA, NA, NA","alyxia, unk vine f, coccinia, colubrina, unk vine g","NA, entrie, woody, spins, alternate, bouganvillia, NA, NA, ipomea, fuzzy (MF pic)",9,5,7,41,20,28,6,42,3.66666666666667,4.125
"2-nov-2017","MK,  TC","TC","guam","dededo","mixed_introduced","dededo.24","leaf litter","34","2",NA,"none","NA","flagellaria, mikania, passiflora","NA, NA, NA",8,10,7,33,36,55,20,71,2.83333333333333,4.125
"43068","mk, mef","mef","guam","dededo","mixed_introduced","dededo.39","leaf litter","49","3","see hog disturbances; flaggellaria seedlings","ferns, nervilia aragoana","NA, orchid spp","flagellaria, mikania, telosma procumbens","3, 1, 1",4,8,5,19,21,7,14,14,2,1.125
"2-nov-2017","MK,  TC","TC","guam","dededo","scrub_shrub","dededo.67","ferns, grass, herbaceous plants","7","1",NA,"NA","NA","columbrina","1",1,5,4,38,40,78,61,57,NA,81.375
"43122","mk, mf","mf","saipan","east bay","scrub_shrub","eastbay.886","ravina, ferns, sword grass","65","3","should be lots of birds on recording, sword grass at the last 5m of transect, saw golden white eye/ heard fruit dove, eugenia adult >2m away, no data for substrate 0-ms","rivina, blechum pyramedatum, ferns","NA, hairy, wavy margins, opp. square-ish stem (MK), NA","abrus, momordica, coccinia grandis","1, 3, Ivy gourd, 1",7,7,9,53,20,48,5,63,NA,2.625
"43146","ef, mf","mf","rota","fishing cliff","leucaena_thicket","fishingcliff.4","leaf litter","11","1","the worst site; nest to a fishing cliff and has lots of wind swept leucaena; maybe even salt spray?","none","NA","passiflora sub","NA",3,3,2,175,31,7,4,34,1.66666666666667,17.625
"43122","mk, mf","mf","saipan","forbi","native_limestone","forbi.943","leaf litter, karst, procris (butterfly plant)","46","1","fruit doves on recording, psychotria seedlings mostly in same area (bird dump), very karsty and slopes","procris, fern spp, microsorum punctatum","butt. plant, NA, elkhorn fern","flagellaria, momordica, passiflora sub., jasminum, alixia","1, 1, 1, 1, 1, 1",10,6,13,55,37,109,47,99,5,5.375
"25-Sep-2017","mk, tc","tc","saipan","grotto","native_limestone","grotto.112","none",NA,NA,NA,"NA","NA","ipomoea, coccinia, jasminum","NA, NA, NA",6,1,10,28,4,109,69,44,4.66666666666667,11
"43140","mf, mk, ef","mf","saipan","grotto","native_limestone","grotto.229","loose karst, leaf litter","21","1",NA,"rivina, ruella","NA, NA","alixia, passiflora sub., columbrina","NA, NA, NA",7,2,7,44,2,33,6,29,1.66666666666667,4.375
"43140","mf, mk, ecf","mf","saipan","grotto","native_limestone","grotto.235","karst, leaf litter","16","1","saw a shrew, lots of tall rock karst spires","rivina, ferns, achyranthes canescens","NA, NA, fuzzy, Opp. Square stem, ID'd an suicide cliff transect","abrus, passiflora sub, coccinia, alixia, unk vine h","11, NA, NA, NA, convolvulaceae? (MF) alternate -> unk 2",11,4,10,55,4,79,20,63,5,4.25
"43145","ef, mf","mf","rota","guata beach","native_limestone","guatabeach.1955","leaf litter","23","1",NA,"ferns","NA","flagellaria","NA",10,2,11,76,8,178,76,110,1.33333333333333,2.625
"43068","mk, mef","mef","guam","harmon","leucaena_thicket","harmon.4","leaf litter, syngonium","22","4","lots of flaggelaria seedlings, ferns throughout, light5 was taken at 4m instead of 5","syngonium, ferns","adult vine and juvenile clumps on ground, NA","mikania, flagellaria, colubrina, syngonium","1, 4, 3, 3",2,1,3,19,7,6,6,7,2,3.125
"43203","MF","rp, mf","guam","hmu","native_limestone","hmu.187","leaf litter, ferns","49","0",NA,"ferns","NA","none","NA",5,4,4,38,30,28,5,53,3,4.5
"43203","rp, mf","rp, mf","guam","hmu","native_limestone","hmu.45","leaf litter, ferns","47","0","rp= Rye Pamplin","ferns","NA","none","NA",4,1,3,14,17,3,1,19,4,7.875
"43203","mf","mf, rp","guam","hmu","native_limestone","hmu random","leaf litter, ferns","39","0","ifit adult & seedlings & saplings just outside of transect; RP= Rye Pamplin","ferns","NA","none","NA",5,2,2,39,25,58,1,82,3.5,9.25
"43209","MF, MR","MF","guam","hmu","native_limestone","hmu1","leaf litter, ferns","21","0",NA,"ferns","NA","none","NA",8,1,3,44,8,38,0,46,3.66666666666667,5
"43178","mf, mk","mf","guam","hmu","native_limestone","hmu2","ferns","41","1",NA,"ferns","NA","passiflora sub.","NA",4,6,5,22,16,24,6,34,4,6.875
"43129","mk, mf","mf","saipan","kalaberacave","leucaena_thicket","kalaberacave.358","leaf litter, unk #1, lantana, eugenia seedlings","23","3","lots of bird activity","ferns, blechum pryamidatum, ravina","NA, square stem, hairy, opp. Toothed, MK pic, NA","passiflora sub.-3, unk. #2 - 1, abrus - 1","NA, vine, MK pic, long fruit/flower stalks, alt. -> unk vine (deeringia amaranthoides?), NA",6,5,6,79,45,285,8,322,3.33333333333333,4.625
"43129","mk, mf","mf","saipan","ladt","leucaena_thicket","ladt.306","cynometra, ferns, leaf litter","42","2","lots of birds, ochrosia adult >2m away from seedlings and far off from transect","wavy leaf basket grass, ferns, zeuxine fritzii","NA, NA, NA","colubrina, alixia, passiflora sub.","1, 1, 2",11,7,10,114,25,821,10,836,4,4.125
"43139","mf, mk, ecf","ecf, mf","saipan","laolao","leucaena_thicket","laolao.983","rivina","35","1","adult guamia out of transect","rivina","NA","coccinia grandis","1",3,3,5,79,10,9,1,18,4,9.625
"18-sep-2017","mk, tc","tc","saipan","lastcommandpost","mixed_introduced","lastcommandpost.21","leaf liter",NA,NA,NA,"NA","NA","NA","NA",12,3,8,44,10,138,17,131,2,4.5
"26-sep-2017","mk, tc","tc","saipan","lastcommandpost","native_limestone","lastcommandpost.45","rivina, heavy leaf liter","31","2",NA,"NA","NA","jasminum, alyxia, abrus","NA, NA, NA",10,2,10,33,6,48,21,33,3.66666666666667,6.75
"28-Sep-2017","mk, tc","tc","saipan","lastcommandpost","native_limestone","lastcommandpost.46","none","52","2",NA,"NA","NA","coccinia, alyxia, ipomoea","NA, NA, NA",11,3,9,38,14,40,5,49,3.16666666666667,4.25
"26-sep-2017","mk, tc","tc","saipan","lastcommandpost","native_limestone","lastcommandpost.49","leaf liter","75","1",NA,"NA","NA","coccinia, passiflora, alyxia, jasminum","NA, NA, NA, NA",7,3,9,33,12,29,19,22,4.66666666666667,5
"26-sep-2017","mk, tc","tc","saipan","lastcomandpost","native_limestone","lastcommandpost.50","none","55","1",NA,"NA","NA","coccinia, ipomoea, jasminum, flagellaria","NA, NA, NA, NA",11,3,10,54,21,32,12,41,3.83333333333333,8.375
"28-Sep-2017","mk, tc","tc","saipan","lastcommandpost","mixed_introduced","lastcommandpost.6","rivnia, ruellia","47","1",NA,"NA","NA","passiflora, coccinia, ipomoea","NA, NA, NA",8,6,9,28,18,30,16,32,3.66666666666667,7.375
"43123","mk, mf","mf","saipan","lau lau","mixed_introduced","laulau.1036","leaf litter","46","4","bird calls- saw 2 starlings (1 juvenile), tons of vines","ferns, zeuxime fritzii, blechum pyramidatum","x2 spp, NA, hairy opp., tothed margin, square stem (MK)","mikania, abrus, centrosema pubescens, passiflora sub., lantana","3, 2, 2, 3, 1",10,6,11,75,49,69,13,105,2.66666666666667,2.625
"43123","mk, mf","mf","saipan","lau lau","mixed_introduced","laulau.1051","leaf litter, karst","57","3","heavily sloped, heard a lot of birds throughout, did not see psychotria adults near the transect but did see some on the way back down the slope to the car, *=all the same category of cynometra (seedling w/conspecific), no abiotic data for substrate 0","rivina","NA","jasminum","unknown thick vine, 3, jasminum (mk, 24JAN2018)",8,4,9,55,34,277,31,280,NA,2.625
"43123","mk, mf","mf","saipan","lau lau","scrub_shrub","laulau.904","ravina, fallen trees, leaf litter","43","2","hearing a few birds- 1 fruit dove, some trash, adult barringtonia not in transect but <2m away from saplings","ravina","NA","ahorus, jasminum, unk vine g","1, 2, 1",3,8,4,46,40,8,7,41,4,4
"43195","mk, mf","mk, mf","guam","lupog","mixed_introduced","lupogmist.38","leaf litter, ferns","29","2","saw some pigs & baby pigs walking in; mist in canopy","ferns","NA","flagellaria, syongium angustatum, passiflora sub.","NA, ID MF 11May18, NA",9,4,5,48,14,29,11,32,4,4.75
"43196","mk, mf","mk, mf","guam","lupog","mixed_introduced","lupogmist.39","leaf litter, ferns","25","1","pig poop; mist in canopy","ferns","NA","jasminum, flagellaria","NA, NA",11,7,5,62,8,7,7,8,4,9.75
"43152","ef, mf","mf","rota","mananana","native_limestone","mananana.1361","karst spires, moss, ferns","26","0","couldn't make it to exact pt; deer poop","ferns, moss","NA, NA","none","NA",12,2,10,30,2,95,11,86,5,9
"43151","ef, mf","mf","rota","mananana","native_limestone","mananana.random","karst spires, moss","16","0",NA,"moss, ferns, procriss, pilea microphylla, chromalina, elatostema","NA, NA, NA, ID as Pilea microphylla by ECF on 23Feb2018, NA, NA","none","NA",10,2,7,33,5,97,6,96,3,17.75
"26-oct-2017","MK, MF,  TC","TC","guam","mangilao","leucaena_thicket","mangilao.11","leaf litter & flagellaria seedlings","26","3",NA,"NA","NA","flagellaria, passiflora suberosa, colubrina, jasminum","NA, NA, NA, NA",7,4,9,42,6,40,27,19,2.33333333333333,8.625
"26-oct-2017","MK,  TC","TC","guam","mangilao","leucaena_thicket","mangilao.12","leaf litter & coconut","36","3","light5 measured at 6m instead of 5m","NA","NA","flagellaria, passiflora, colubrina, jasminum","NA, NA, NA, NA",7,2,4,49,5,45,0,50,2.33333333333333,5.75
"3-nov-2017","MK, MF","TC","guam","mangilao","leucaena_thicket","mangilao.15","ferns, leaf litter","16","2",NA,"NA","NA","flagellaria, jasminum, passiflora","NA, NA, NA",6,3,9,56,19,122,15,126,2.33333333333333,7.75
"6-nov-2017","MF","MK","guam","mangilao","leucaena_thicket","mangilao.16","ferns, leaf litter","29","4",NA,"none","NA","flagellaria, epipremnum, colubrina, mikania, antigonon","NA, NA, NA, NA, NA",6,2,8,30,2,31,14,19,4,7
"27-Oct-2017","mk, tc","tc","guam","mangilao","mixed_introduced","mangilao.28","leaf liter","52","2","light5 measured at 6m instead of 5m","NA","NA","flagellaria, columbrina","last half of transect had lots of vines, NA",9,3,7,50,4,12,6,10,3.16666666666667,9.25
"11-dec-2017","mk & mf","mf","guam","mangilao","mixed_introduced","mangilao.37","soil, leaf litter, ferns","52","1","bamboo is tall, recent pig disturbance lots of uprooting by pigs nearby, question about palm (if apical meristem >130 then adult?","wavy leaf basket grass sp, ferns, tarro, mimosa pudica","NA, NA, one very large tarro, NA","unk vine d","NA",2,3,6,8,13,463,476,NA,4,6.5
"31-Oct-2017","mk, tc","tc","guam","mangilao","leucaena_thicket","mangilao.5","ferns","22","2",NA,"none","NA","passiflora, mikania, flagellaria","NA, NA, NA",6,8,5,41,57,57,27,87,3.66666666666667,6
"27-Oct2017","mk, tc","tc","guam","mangilao","leucaena_thicket","mangilao.7","ferns","18","1",NA,"NA","NA","passiflora","NA",3,7,5,38,24,647,27,644,4,13.375
"6-nov-2017","MF & MK","MF","guam","marbo cave","leucaena_thicket","marbocave.10","ferns","30","0","large pisonia just off transect, aidia adult canopy 4m away, lots of browsed aidia in area, light20 measured at 19m instead 20m","NA","no data","NA","no vines",5,7,10,80,54,259,141,172,3,7.5
"27-sep-2017","mk, tc","tc","saipan","marpiintersect2","native_limestone","marpiintersect2.82","rivina","36","3",NA,"NA","NA","alyxia, jasminum, passiflora, coccinia","NA, NA, NA, NA",8,4,7,46,18,121,1,138,2.5,12
"27-sep-2017","mk, tc","tc","saipan","marpiintersect2","native_limestone","marpiintersect2.83","rivina","31","1",NA,"NA","NA","alyxia, jasminum, passiflora","NA, NA, NA",9,4,9,59,16,128,20,124,3.83333333333333,4.75
"06-Jun-2017","ecf, tc, mk, hr","na","saipan","mtr1","native_limestone","mtr1.1","na",NA,NA,"no data for abiotic","NA","NA","NA","NA",6,1,6,46,4,57,8,53,NA,NA
"20-sep-2017","mk, tc","tc","saipan","mtr1","native_limestone","mtr1.16","leaf liter",NA,NA,NA,"NA","NA","ipomoea, passiflora, alyxia, mikania, jasminum","NA, NA, NA, NA, NA",9,5,10,53,38,132,11,159,3.16666666666667,13.625
"18-Sep-2017","mk, tc, mb","tc","saipan","09","native_limestone","native_limestone.09","rivina, grass",NA,NA,NA,"NA","NA","alyxia, colubrina","NA, NA",11,7,7,52,32,147,5,174,NA,15
"43151","ef, mf","mf","rota","north","mixed_introduced","north.2136","leaf litter, ferns (casuarina leaf litter)","22","3",NA,"ferns","NA","jasminum, passiflora tet., flaggerllaria, columbrina","NA, NA, NA, NA",4,4,2,30,11,2,5,8,4,16.375
"43151","ef, mf","mf","rota","north","native_limestone","north.2231","leaf litter","19","2","adult pouteria near transect but too far away","mucuna gigantea","ID MF 1mar18","unk herb o","maybe not herb? 3 lf vine w/pod that stings",10,6,5,53,12,75,26,61,1.66666666666667,2.875
"43147","ef, mf","mf","rota","northeast","native_limestone","northeast.1760","leaf litter","24","1","lots of deer poop; psychotria adult too far and out of transect","wavy leaf basket grass, ferns","NA, NA","jasminum, flagellaria","NA, NA",12,6,14,64,38,129,67,100,3.66666666666667,4.25
"43147","ef, mf","mf","rota","northern tip","native_limestone","northerntip.2210","leaf litter","27","2","not a true limestone forest","wavy leaf basket grass","NA","passiflora sun, jasminum, flagellaria, colubrina","NA, NA, NA, NA",7,5,11,73,24,69,30,63,3.83333333333333,16.25
"43153","ef, mf","mf","rota","northwest","mixed_introduced","northwest.1497","leaf litter","12","2",NA,"ferns","NA","mucurn gigantes, cat's claw, flagellaria","same as #1775 - 3 if fab (ID MF - 1mar18), NA, NA",10,2,7,58,4,58,12,50,1.66666666666667,5
"43116","mk, mf","mf","saipan","obzan","leucaena_thicket","obzan.23","ravina and soil","18","1","psycotria narby but >2m away","ravina, ruellia","NA, NA","antigopon, passiflora sub., coccinia grandis","1, 1, 1",2,2,0,90,24,0,4,20,4,9.25
"43182","mf","mf, zc","guam","oceanview","native_limestone","oceanview.60","leaf litter, ferns","36","1","not really native forest","ferns, unk herb p","NA, common trails, sticky seeds, mf pic","flagellaria","NA",8,2,6,25,5,31,6,30,2.33333333333333,6.875
"43126","mk, mf","mf","saipan","old man by the sea","mixed_introduced","oldmanbythesea.806","ravine, cuellia, blechum pyramidatum, leaf litter","52","2",NA,"blechum pyramidatum, ruellia, ferns, ravina","herb, square stem, toothed may, harry, opp. (MK), NA, NA, NA","flagellaria, coccinia grandis, passiflora sub., abrus, centrosema pubescens","1, 1, 1, 1, 1",9,4,6,65,18,22,3,37,4,5
"43067","mk, mef","mef","guam","pipeline road","mixed_introduced","pipelinerd.29","leaf litter and fern spp, some karst","55","na","total vine cover probably 1 based on the individual vine cover; tons of different fern spp.","unk herb b, ferns","NA, tons of different fern species","unk vine i, passiflora suberosa","NA, 1",4,3,4,27,58,59,104,13,4,2.25
"2-nov-2017","MK,  TC","TC","guam","racetrack","scrub_shrub","racetrack.70","ferns","16","3",NA,"none","NA","flagellaria, jasminum, mikania, passiflora, chromolaena","NA, NA, NA, NA, NA",11,7,9,59,31,235,11,255,2.33333333333333,7.625
"43118","mk, mf","mf","saipan","rock quarry","leucaena_thicket","rockquarry.1743","ravina","28","1",NA,"ravina","NA","abrus, passiflora sub.","1, 1",2,1,0,62,18,0,0,18,2.83333333333333,12.625
"43117","mk, mef","mef","saipan","rock quarry","leucaena_thicket","rockquarry.1835","leaf litter, ravina","22","2",NA,"rivina, pepper","NA, NA","passiflora sub., abrus","2, 2",6,6,3,62,35,12,6,41,4,13.25
"43117","mk, mef","mef","saipan","rock quarry","leucaena_thicket","rockquarry.1846","leaf litter, ravina","38","2","psychotria adult not within 2 m seed, gnometra adult not within 2 m seedling, oritenseca, lots of downed albizia and leuceana with resprouts, lots of karst at end of transect and around site, just not in most of transect","ravina, ruellia","NA, NA","columbrina, passiflora sub., abrus pricaturus","1, 2, 1",9,5,7,60,37,27,7,57,2.5,4.75
"43143","mk, mf, ef","mf","saipan","rock quarry","leucaena_thicket","rockquarry.1851","rivina","19","1","hibiscus area surrounded by leucaena","rivina, blechum pyramidatum, acalypha indica","NA, square stem, opp., hairy serate - MK, alt. spade shape, serate edges - euphorbiacae - fruits - MK","abrus, alixia","NA, NA",4,2,3,44,7,18,4,21,1.66666666666667,11.625
"43151","ef, mf","mf","rota","rota resort","native_limestone","rotaresort.2083","leaf litter","21","0",NA,"none","NA","ferns","NA",11,1,7,54,8,29,1,36,1,5.125
"43125","mk, mf","mf","saipan","santa lourdes","mixed_introduced","santalourdes.717","karst, leaf liter, ferns","38","2","fruit dove, white terns, lots of karst cliffy areas, a lot of seedlings without conspecifics might roll down cliff area, old dead erythrina at end of transect and alive one, did see some adult aglais not in transect","ravina, ferns, blechum pyramidatum, zeuxine fritizii, chromalina odorata","NA, NA, Unknown #1, square stem, fuzzy, wavy margins (MK), NA, NA","flagellaria, passiflora sub., alixia, abrus","2, 1, 1, 1",10,11,16,60,74,289,118,245,3.33333333333333,4.5
"43139","mf, mk, ef","mf","saipan","san vicente","mixed_introduced","sanvicente.1067","pothos, ruellia","57","4","pandanus tinc adults >2m away","ferns, taro, rivina, blechum pyramidatum, ruellia, wavy leaf basket grass","NA, NA, NA, NA, NA, NA","pothos, mikania, abrus, centrosema pubescens, unk vine e","3, NA, NA, NA, NA",11,10,15,28,27,55,51,31,3.66666666666667,7.5
