"uniqueID","island","site","transect","topcolor","bowlcolor","partial","other","insectorders","count"
"GuamMTRLNA","Guam","MTRL",NA,NA,NA,NA,NA,"Blattodea",NA
"GuamNblasNA","Guam","Nblas",NA,NA,NA,NA,NA,"Coleoptera",NA
"GuamNblasNA","Guam","Nblas",NA,NA,NA,NA,NA,"Araneae",NA
"GuamNblasNA","Guam","Nblas",NA,NA,NA,NA,NA,"Formicidae",NA
"GuamNblasNA","Guam","Nblas",NA,NA,NA,NA,NA,"Isoptera",NA
"GuamNblasNA","Guam","Nblas",NA,NA,NA,NA,NA,"Apoidea",NA
"GuamNblasNA","Guam","Nblas",NA,NA,NA,NA,NA,"Crabronidae",NA
"GuamNblasNA","Guam","Nblas",NA,NA,NA,NA,NA,"Trichoptera",NA
"GuamNblasNA","Guam","Nblas",NA,NA,NA,NA,NA,"Diptera",NA
"GuamNblasNA","Guam","Nblas",NA,NA,NA,NA,NA,"Lepidoptera",NA
"GuamNblasNA","Guam","Nblas",NA,NA,NA,NA,NA,"Hemiptera",NA
"GuamNblasNA","Guam","Nblas",NA,NA,NA,NA,NA,"Blattodea",NA
"GuamRacetrackNA","Guam","Racetrack",NA,NA,NA,NA,NA,"Coleoptera",NA
"GuamRacetrackNA","Guam","Racetrack",NA,NA,NA,NA,NA,"Araneae",NA
"GuamRacetrackNA","Guam","Racetrack",NA,NA,NA,NA,NA,"Formicidae",NA
"GuamRacetrackNA","Guam","Racetrack",NA,NA,NA,NA,NA,"Isoptera",NA
"GuamRacetrackNA","Guam","Racetrack",NA,NA,NA,NA,NA,"Apoidea",NA
"GuamRacetrackNA","Guam","Racetrack",NA,NA,NA,NA,NA,"Crabronidae",NA
"GuamRacetrackNA","Guam","Racetrack",NA,NA,NA,NA,NA,"Trichoptera",NA
"GuamRacetrackNA","Guam","Racetrack",NA,NA,NA,NA,NA,"Diptera",NA
"GuamRacetrackNA","Guam","Racetrack",NA,NA,NA,NA,NA,"Lepidoptera",NA
"GuamRacetrackNA","Guam","Racetrack",NA,NA,NA,NA,NA,"Hemiptera",NA
"GuamRacetrackNA","Guam","Racetrack",NA,NA,NA,NA,NA,"Blattodea",NA
"GuamRitiNA","Guam","Riti",NA,NA,NA,NA,NA,"Coleoptera",NA
"GuamRitiNA","Guam","Riti",NA,NA,NA,NA,NA,"Araneae",NA
"GuamRitiNA","Guam","Riti",NA,NA,NA,NA,NA,"Formicidae",NA
"GuamRitiNA","Guam","Riti",NA,NA,NA,NA,NA,"Isoptera",NA
"GuamRitiNA","Guam","Riti",NA,NA,NA,NA,NA,"Apoidea",NA
"GuamRitiNA","Guam","Riti",NA,NA,NA,NA,NA,"Crabronidae",NA
"GuamRitiNA","Guam","Riti",NA,NA,NA,NA,NA,"Trichoptera",NA
"GuamRitiNA","Guam","Riti",NA,NA,NA,NA,NA,"Diptera",NA
"GuamRitiNA","Guam","Riti",NA,NA,NA,NA,NA,"Lepidoptera",NA
"GuamRitiNA","Guam","Riti",NA,NA,NA,NA,NA,"Hemiptera",NA
"GuamRitiNA","Guam","Riti",NA,NA,NA,NA,NA,"Blattodea",NA
"GuamSblasNA","Guam","Sblas",NA,NA,NA,NA,NA,"Coleoptera",NA
"GuamSblasNA","Guam","Sblas",NA,NA,NA,NA,NA,"Araneae",NA
"GuamSblasNA","Guam","Sblas",NA,NA,NA,NA,NA,"Formicidae",NA
"GuamSblasNA","Guam","Sblas",NA,NA,NA,NA,NA,"Isoptera",NA
"GuamSblasNA","Guam","Sblas",NA,NA,NA,NA,NA,"Apoidea",NA
"GuamSblasNA","Guam","Sblas",NA,NA,NA,NA,NA,"Crabronidae",NA
"GuamSblasNA","Guam","Sblas",NA,NA,NA,NA,NA,"Trichoptera",NA
"GuamSblasNA","Guam","Sblas",NA,NA,NA,NA,NA,"Diptera",NA
"GuamSblasNA","Guam","Sblas",NA,NA,NA,NA,NA,"Lepidoptera",NA
"GuamSblasNA","Guam","Sblas",NA,NA,NA,NA,NA,"Hemiptera",NA
"GuamSblasNA","Guam","Sblas",NA,NA,NA,NA,NA,"Blattodea",NA
"GuamNANA","Guam",NA,NA,NA,NA,NA,NA,"Coleoptera",NA
"GuamNANA","Guam",NA,NA,NA,NA,NA,NA,"Araneae",NA
"GuamNANA","Guam",NA,NA,NA,NA,NA,NA,"Formicidae",NA
"GuamNANA","Guam",NA,NA,NA,NA,NA,NA,"Isoptera",NA
"GuamNANA","Guam",NA,NA,NA,NA,NA,NA,"Apoidea",NA
"GuamNANA","Guam",NA,NA,NA,NA,NA,NA,"Crabronidae",NA
"GuamNANA","Guam",NA,NA,NA,NA,NA,NA,"Trichoptera",NA
"GuamNANA","Guam",NA,NA,NA,NA,NA,NA,"Diptera",NA
"GuamNANA","Guam",NA,NA,NA,NA,NA,NA,"Lepidoptera",NA
"GuamNANA","Guam",NA,NA,NA,NA,NA,NA,"Hemiptera",NA
"GuamNANA","Guam",NA,NA,NA,NA,NA,NA,"Blattodea",NA
"SaipanAnaoNA","Saipan","Anao",NA,NA,NA,NA,NA,"Coleoptera",NA
"SaipanAnaoNA","Saipan","Anao",NA,NA,NA,NA,NA,"Araneae",NA
"SaipanAnaoNA","Saipan","Anao",NA,NA,NA,NA,NA,"Formicidae",NA
"SaipanAnaoNA","Saipan","Anao",NA,NA,NA,NA,NA,"Isoptera",NA
"SaipanAnaoNA","Saipan","Anao",NA,NA,NA,NA,NA,"Apoidea",NA
"SaipanAnaoNA","Saipan","Anao",NA,NA,NA,NA,NA,"Crabronidae",NA
"SaipanAnaoNA","Saipan","Anao",NA,NA,NA,NA,NA,"Trichoptera",NA
"SaipanAnaoNA","Saipan","Anao",NA,NA,NA,NA,NA,"Diptera",NA
"SaipanAnaoNA","Saipan","Anao",NA,NA,NA,NA,NA,"Lepidoptera",NA
"SaipanAnaoNA","Saipan","Anao",NA,NA,NA,NA,NA,"Hemiptera",NA
"SaipanAnaoNA","Saipan","Anao",NA,NA,NA,NA,NA,"Blattodea",NA
"SaipanForbiAL1","Saipan","ForbiA","L1","b","w",0,0,"Coleoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","w",0,0,"Araneae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","w",0,0,"Formicidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","w",0,0,"Isoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","w",0,0,"Apoidea",1
"SaipanForbiAL1","Saipan","ForbiA","L1","b","w",0,0,"Crabronidae",1
"SaipanForbiAL1","Saipan","ForbiA","L1","b","w",0,0,"Trichoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","w",0,0,"Diptera",1
"SaipanForbiAL1","Saipan","ForbiA","L1","b","w",0,0,"Lepidoptera",1
"SaipanForbiAL1","Saipan","ForbiA","L1","b","w",0,0,"Hemiptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","w",0,0,"Blattodea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","y",0,0,"Coleoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","y",0,0,"Araneae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","y",0,0,"Formicidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","y",0,0,"Isoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","y",0,0,"Apoidea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","y",0,0,"Crabronidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","y",0,0,"Trichoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","y",0,0,"Diptera",1
"SaipanForbiAL1","Saipan","ForbiA","L1","y","y",0,0,"Lepidoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","y",0,0,"Hemiptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","y",0,0,"Blattodea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","r",0,0,"Coleoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","r",0,0,"Araneae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","r",0,0,"Formicidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","r",0,0,"Isoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","r",0,0,"Apoidea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","r",0,0,"Crabronidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","r",0,0,"Trichoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","r",0,0,"Diptera",NA
"SaipanForbiAL1","Saipan","ForbiA","L1","y","r",0,0,"Lepidoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","r",0,0,"Hemiptera",1
"SaipanForbiAL1","Saipan","ForbiA","L1","y","r",0,0,"Blattodea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","r",0,0,"Coleoptera",1
"SaipanForbiAL1","Saipan","ForbiA","L1","r","r",0,0,"Araneae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","r",0,0,"Formicidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","r",0,0,"Isoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","r",0,0,"Apoidea",1
"SaipanForbiAL1","Saipan","ForbiA","L1","r","r",0,0,"Crabronidae",1
"SaipanForbiAL1","Saipan","ForbiA","L1","r","r",0,0,"Trichoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","r",0,0,"Diptera",2
"SaipanForbiAL1","Saipan","ForbiA","L1","r","r",0,0,"Lepidoptera",3
"SaipanForbiAL1","Saipan","ForbiA","L1","r","r",0,0,"Hemiptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","r",0,0,"Blattodea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","w",0,0,"Coleoptera",1
"SaipanForbiAL1","Saipan","ForbiA","L1","r","w",0,0,"Araneae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","w",0,0,"Formicidae",1
"SaipanForbiAL1","Saipan","ForbiA","L1","r","w",0,0,"Isoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","w",0,0,"Apoidea",2
"SaipanForbiAL1","Saipan","ForbiA","L1","r","w",0,0,"Crabronidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","w",0,0,"Trichoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","w",0,0,"Diptera",2
"SaipanForbiAL1","Saipan","ForbiA","L1","r","w",0,0,"Lepidoptera",3
"SaipanForbiAL1","Saipan","ForbiA","L1","r","w",0,0,"Hemiptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","w",0,0,"Blattodea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","y",0,0,"Coleoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","y",0,0,"Araneae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","y",0,0,"Formicidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","y",0,0,"Isoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","y",0,0,"Apoidea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","y",0,0,"Crabronidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","y",0,0,"Trichoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","y",0,0,"Diptera",6
"SaipanForbiAL1","Saipan","ForbiA","L1","b","y",0,0,"Lepidoptera",2
"SaipanForbiAL1","Saipan","ForbiA","L1","b","y",0,0,"Hemiptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","y",0,0,"Blattodea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","r",0,0,"Coleoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","r",0,0,"Araneae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","r",0,0,"Formicidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","r",0,0,"Isoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","r",0,0,"Apoidea",1
"SaipanForbiAL1","Saipan","ForbiA","L1","w","r",0,0,"Crabronidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","r",0,0,"Trichoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","r",0,0,"Diptera",2
"SaipanForbiAL1","Saipan","ForbiA","L1","w","r",0,0,"Lepidoptera",3
"SaipanForbiAL1","Saipan","ForbiA","L1","w","r",0,0,"Hemiptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","r",0,0,"Blattodea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","b",0,0,"Coleoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","b",0,0,"Araneae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","b",0,0,"Formicidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","b",0,0,"Isoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","b",0,0,"Apoidea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","b",0,0,"Crabronidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","b",0,0,"Trichoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","b",0,0,"Diptera",NA
"SaipanForbiAL1","Saipan","ForbiA","L1","b","b",0,0,"Lepidoptera",1
"SaipanForbiAL1","Saipan","ForbiA","L1","b","b",0,0,"Hemiptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","b",0,0,"Blattodea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","r",0,0,"Coleoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","r",0,0,"Araneae",1
"SaipanForbiAL1","Saipan","ForbiA","L1","b","r",0,0,"Formicidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","r",0,0,"Isoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","r",0,0,"Apoidea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","r",0,0,"Crabronidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","r",0,0,"Trichoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","r",0,0,"Diptera",NA
"SaipanForbiAL1","Saipan","ForbiA","L1","b","r",0,0,"Lepidoptera",4
"SaipanForbiAL1","Saipan","ForbiA","L1","b","r",0,0,"Hemiptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","b","r",0,0,"Blattodea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","y",0,0,"Coleoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","y",0,0,"Araneae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","y",0,0,"Formicidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","y",0,0,"Isoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","y",0,0,"Apoidea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","y",0,0,"Crabronidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","y",0,0,"Trichoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","y",0,0,"Diptera",NA
"SaipanForbiAL1","Saipan","ForbiA","L1","w","y",0,0,"Lepidoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","y",0,0,"Hemiptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","y",0,0,"Blattodea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","w",0,0,"Coleoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","w",0,0,"Araneae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","w",0,0,"Formicidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","w",0,0,"Isoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","w",0,0,"Apoidea",1
"SaipanForbiAL1","Saipan","ForbiA","L1","w","w",0,0,"Crabronidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","w",0,0,"Trichoptera",1
"SaipanForbiAL1","Saipan","ForbiA","L1","w","w",0,0,"Diptera",6
"SaipanForbiAL1","Saipan","ForbiA","L1","w","w",0,0,"Lepidoptera",4
"SaipanForbiAL1","Saipan","ForbiA","L1","w","w",0,0,"Hemiptera",1
"SaipanForbiAL1","Saipan","ForbiA","L1","w","w",0,0,"Blattodea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","b",0,0,"Coleoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","b",0,0,"Araneae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","b",0,0,"Formicidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","b",0,0,"Isoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","b",0,0,"Apoidea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","b",0,0,"Crabronidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","b",0,0,"Trichoptera",1
"SaipanForbiAL1","Saipan","ForbiA","L1","y","b",0,0,"Diptera",2
"SaipanForbiAL1","Saipan","ForbiA","L1","y","b",0,0,"Lepidoptera",1
"SaipanForbiAL1","Saipan","ForbiA","L1","y","b",0,0,"Hemiptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","b",0,0,"Blattodea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","b",0,0,"Coleoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","b",0,0,"Araneae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","b",0,0,"Formicidae",1
"SaipanForbiAL1","Saipan","ForbiA","L1","w","b",0,0,"Isoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","b",0,0,"Apoidea",1
"SaipanForbiAL1","Saipan","ForbiA","L1","w","b",0,0,"Crabronidae",1
"SaipanForbiAL1","Saipan","ForbiA","L1","w","b",0,0,"Trichoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","w","b",0,0,"Diptera",NA
"SaipanForbiAL1","Saipan","ForbiA","L1","w","b",0,0,"Lepidoptera",1
"SaipanForbiAL1","Saipan","ForbiA","L1","w","b",0,0,"Hemiptera",1
"SaipanForbiAL1","Saipan","ForbiA","L1","w","b",0,0,"Blattodea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","y",0,0,"Coleoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","y",0,0,"Araneae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","y",0,0,"Formicidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","y",0,0,"Isoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","y",0,0,"Apoidea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","y",0,0,"Crabronidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","y",0,0,"Trichoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","y",0,0,"Diptera",1
"SaipanForbiAL1","Saipan","ForbiA","L1","r","y",0,0,"Lepidoptera",2
"SaipanForbiAL1","Saipan","ForbiA","L1","r","y",0,0,"Hemiptera",1
"SaipanForbiAL1","Saipan","ForbiA","L1","r","y",0,0,"Blattodea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","w",0,0,"Coleoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","w",0,0,"Araneae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","w",0,0,"Formicidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","w",0,0,"Isoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","w",0,0,"Apoidea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","w",0,0,"Crabronidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","w",0,0,"Trichoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","w",0,0,"Diptera",NA
"SaipanForbiAL1","Saipan","ForbiA","L1","y","w",0,0,"Lepidoptera",1
"SaipanForbiAL1","Saipan","ForbiA","L1","y","w",0,0,"Hemiptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","y","w",0,0,"Blattodea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","b",0,0,"Coleoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","b",0,0,"Araneae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","b",0,0,"Formicidae",1
"SaipanForbiAL1","Saipan","ForbiA","L1","r","b",0,0,"Isoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","b",0,0,"Apoidea",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","b",0,0,"Crabronidae",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","b",0,0,"Trichoptera",0
"SaipanForbiAL1","Saipan","ForbiA","L1","r","b",0,0,"Diptera",2
