"","X","uniqueID","island","site","transect","topcolor","bowlcolor","insectorder","numinsects","dateout","datecoll","duration","order_abbrev"
"55",3996,"SaipanForbiGridL2","saipan","forbig","L2","y","w","Apoidea",11,2018-01-17,2018-01-20,3,"Apoid"
"56",4245,"SaipanForbiGridL3","saipan","forbig","L3","b","y","Lepidoptera",11,2018-01-17,2018-01-20,3,"Lepid"
"57",4323,"SaipanForbiGridL3","saipan","forbig","L3","y","b","Lepidoptera",11,2018-01-17,2018-01-20,3,"Lepid"
"58",4772,"SaipanLADTAL2","saipan","ladta","L2","r","w","Diptera",11,2018-01-17,2018-01-20,3,"Dipte"
"59",5786,"SaipanMTRLL1","saipan","mtrl","L1","y","y","Diptera",11,2018-01-17,2018-01-20,3,"Dipte"
"60",5974,"SaipanMTRLL2","saipan","mtrl","L2","b","b","Lepidoptera",11,2018-01-17,2018-01-20,3,"Lepid"
"61",3772,"SaipanForbiGridL1","saipan","forbig","L1","y","b","Hemiptera",10,2018-01-17,2018-01-20,3,"Hemip"
"62",4668,"SaipanLADTAL2","saipan","ladta","L2","b","w","Diptera",10,2018-01-17,2018-01-20,3,"Dipte"
"63",5500,"SaipanLadtgL3","saipan","ladtg","L3","b","w","Diptera",10,NA,NA,NA,"Dipte"
"64",5519,"SaipanLadtgL3","saipan","ladtg","L3","b","r","Lepidoptera",10,NA,NA,NA,"Lepid"
"65",5526,"SaipanLadtgL3","saipan","ladtg","L3","y","y","Diptera",10,NA,NA,NA,"Dipte"
"66",5987,"SaipanMTRLL2","saipan","mtrl","L2","b","y","Lepidoptera",10,2018-01-17,2018-01-20,3,"Lepid"
"67",225,"GuamAnaoL2","guam","anao","L2","b","b","Formicidae",9,2018-01-12,2018-01-15,3,"Formi"
"68",3795,"SaipanForbiGridL1","saipan","forbig","L1","y","y","Trichoptera",9,2018-01-17,2018-01-20,3,"Trich"
"69",4088,"SaipanForbiGridL2","saipan","forbig","L2","w","b","Crabronidae",9,2018-01-17,2018-01-20,3,"Crabr"
"70",4174,"SaipanForbiGridL3","saipan","forbig","L3","b","w","Diptera",9,2018-01-17,2018-01-20,3,"Dipte"
"71",4479,"SaipanLADTAL1","saipan","ladta","L1","r","b","Lepidoptera",9,2018-01-17,2018-01-20,3,"Lepid"
"72",4700,"SaipanLADTAL2","saipan","ladta","L2","w","y","Lepidoptera",9,2018-01-17,2018-01-20,3,"Lepid"
"73",5504,"SaipanLadtgL3","saipan","ladtg","L3","b","w","Apoidea",9,NA,NA,NA,"Apoid"
"74",5545,"SaipanLadtgL3","saipan","ladtg","L3","y","r","Lepidoptera",9,NA,NA,NA,"Lepid"
"75",5578,"SaipanLadtgL3","saipan","ladtg","L3","y","w","Diptera",9,NA,NA,NA,"Dipte"
"76",5773,"SaipanMTRLL1","saipan","mtrl","L1","b","y","Diptera",9,2018-01-17,2018-01-20,3,"Dipte"
"77",3654,"SaipanForbiAL3","saipan","forbia","L3","b","y","Diptera",8,2018-01-17,2018-01-20,3,"Dipte"
"78",3836,"SaipanForbiGridL1","saipan","forbig","L1","r","w","Diptera",8,2018-01-17,2018-01-20,3,"Dipte"
"79",3842,"SaipanForbiGridL1","saipan","forbig","L1","r","w","Lepidoptera",8,2018-01-17,2018-01-20,3,"Lepid"
"80",3849,"SaipanForbiGridL1","saipan","forbig","L1","b","r","Diptera",8,2018-01-17,2018-01-20,3,"Dipte"
"81",4595,"SaipanLADTAL2","saipan","ladta","L2","y","y","Crabronidae",8,2018-01-17,2018-01-20,3,"Crabr"
"82",5058,"SaipanLadtgL1","saipan","ladtg","L1","b","y","Diptera",8,NA,NA,NA,"Dipte"
"83",5435,"SaipanLadtgL3","saipan","ladtg","L3","r","b","Diptera",8,NA,NA,NA,"Dipte"
"84",5517,"SaipanLadtgL3","saipan","ladtg","L3","b","r","Apoidea",8,NA,NA,NA,"Apoid"
"85",5608,"SaipanLadtgL3","saipan","ladtg","L3","w","w","Apoidea",8,NA,NA,NA,"Apoid"
"86",1122,"GuamNblasL3","guam","nblas","L3","w","b","Formicidae",7,2018-01-12,2018-01-15,3,"Formi"
"87",1587,"GuamRacetrackL2","guam","race","L2","w","w","Diptera",7,2018-01-12,2018-01-15,3,"Dipte"
"88",3368,"SaipanForbiAL2","saipan","forbia","L2","y","y","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"89",3381,"SaipanForbiAL2","saipan","forbia","L2","y","w","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"90",3504,"SaipanForbiAL2","saipan","forbia","L2","w","r","Lepidoptera",7,2018-01-17,2018-01-20,3,"Lepid"
"91",3680,"SaipanForbiAL3","saipan","forbia","L3","b","w","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"92",3782,"SaipanForbiGridL1","saipan","forbig","L1","y","b","Trichoptera",7,2018-01-17,2018-01-20,3,"Trich"
"93",3784,"SaipanForbiGridL1","saipan","forbig","L1","y","y","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"94",3972,"SaipanForbiGridL2","saipan","forbig","L2","y","y","Lepidoptera",7,2018-01-17,2018-01-20,3,"Lepid"
"95",4330,"SaipanForbiGridL3","saipan","forbig","L3","w","b","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"96",4348,"SaipanForbiGridL3","saipan","forbig","L3","r","y","Crabronidae",7,2018-01-17,2018-01-20,3,"Crabr"
"97",4616,"SaipanLADTAL2","saipan","ladta","L2","y","w","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"98",4621,"SaipanLADTAL2","saipan","ladta","L2","y","w","Crabronidae",7,2018-01-17,2018-01-20,3,"Crabr"
"99",4720,"SaipanLADTAL2","saipan","ladta","L2","w","w","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"100",4776,"SaipanLADTAL2","saipan","ladta","L2","r","w","Apoidea",7,2018-01-17,2018-01-20,3,"Apoid"
"101",5450,"SaipanLadtgL3","saipan","ladtg","L3","r","w","Coleoptera",7,NA,NA,NA,"Coleo"
"102",5480,"SaipanLadtgL3","saipan","ladtg","L3","b","b","Lepidoptera",7,NA,NA,NA,"Lepid"
"103",5532,"SaipanLadtgL3","saipan","ladtg","L3","y","y","Lepidoptera",7,NA,NA,NA,"Lepid"
"104",5558,"SaipanLadtgL3","saipan","ladtg","L3","y","b","Lepidoptera",7,NA,NA,NA,"Lepid"
"105",5734,"SaipanMTRLL1","saipan","mtrl","L1","b","b","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"106",6026,"SaipanMTRLL2","saipan","mtrl","L2","y","w","Lepidoptera",7,2018-01-17,2018-01-20,3,"Lepid"
"107",6039,"SaipanMTRLL2","saipan","mtrl","L2","y","b","Lepidoptera",7,2018-01-17,2018-01-20,3,"Lepid"
"108",17,"GuamAnaoL1","guam","anao","L1","y","w","Formicidae",6,2018-01-12,2018-01-15,3,"Formi"
"109",183,"GuamAnaoL1","guam","anao","L1","r","r","Diptera",6,2018-01-12,2018-01-15,3,"Dipte"
"110",849,"GuamNblasL2","guam","nblas","L2","r","r","Formicidae",6,2018-01-12,2018-01-15,3,"Formi"
"111",1356,"GuamRacetrackL1","guam","race","L1","b","r","Formicidae",6,2018-01-12,2018-01-15,3,"Formi"
"112",1538,"GuamRacetrackL2","guam","race","L2","y","r","Formicidae",6,2018-01-12,2018-01-15,3,"Formi"
"113",1613,"GuamRacetrackL2","guam","race","L2","w","y","Diptera",6,2018-01-12,2018-01-15,3,"Dipte"
"114",3212,"SaipanForbiAL1","saipan","forbia","L1","b","y","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"115",3277,"SaipanForbiAL1","saipan","forbia","L1","w","w","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"116",3511,"SaipanForbiAL2","saipan","forbia","L2","r","y","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"117",3517,"SaipanForbiAL2","saipan","forbia","L2","r","y","Lepidoptera",6,2018-01-17,2018-01-20,3,"Lepid"
"118",3530,"SaipanForbiAL2","saipan","forbia","L2","r","b","Lepidoptera",6,2018-01-17,2018-01-20,3,"Lepid"
"119",3537,"SaipanForbiAL2","saipan","forbia","L2","r","w","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"120",3816,"SaipanForbiGridL1","saipan","forbig","L1","b","w","Lepidoptera",6,2018-01-17,2018-01-20,3,"Lepid"
"121",3823,"SaipanForbiGridL1","saipan","forbig","L1","b","b","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"122",3853,"SaipanForbiGridL1","saipan","forbig","L1","b","r","Apoidea",6,2018-01-17,2018-01-20,3,"Apoid"
"123",3876,"SaipanForbiGridL1","saipan","forbig","L1","y","r","Hemiptera",6,2018-01-17,2018-01-20,3,"Hemip"
"124",3890,"SaipanForbiGridL1","saipan","forbig","L1","b","y","Coleoptera",6,2018-01-17,2018-01-20,3,"Coleo"
"125",3914,"SaipanForbiGridL1","saipan","forbig","L1","r","y","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"126",3979,"SaipanForbiGridL2","saipan","forbig","L2","y","b","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"127",4135,"SaipanForbiGridL2","saipan","forbig","L2","r","b","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"128",4583,"SaipanLADTAL1","saipan","ladta","L1","r","y","Lepidoptera",6,2018-01-17,2018-01-20,3,"Lepid"
"129",4698,"SaipanLADTAL2","saipan","ladta","L2","w","y","Apoidea",6,2018-01-17,2018-01-20,3,"Apoid"
"130",4787,"SaipanLADTAL2","saipan","ladta","L2","r","r","Coleoptera",6,2018-01-17,2018-01-20,3,"Coleo"
"131",4791,"SaipanLADTAL2","saipan","ladta","L2","r","r","Lepidoptera",6,2018-01-17,2018-01-20,3,"Lepid"
"132",5493,"SaipanLadtgL3","saipan","ladtg","L3","b","y","Lepidoptera",6,NA,NA,NA,"Lepid"
"133",5531,"SaipanLadtgL3","saipan","ladtg","L3","y","y","Crabronidae",6,NA,NA,NA,"Crabr"
"134",30,"GuamAnaoL1","guam","anao","L1","y","b","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"135",69,"GuamAnaoL1","guam","anao","L1","r","b","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"136",196,"GuamAnaoL1","guam","anao","L1","r","y","Diptera",5,2018-01-12,2018-01-15,3,"Dipte"
"137",199,"GuamAnaoL1","guam","anao","L1","r","y","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"138",355,"GuamAnaoL2","guam","anao","L2","w","b","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"139",1619,"GuamRacetrackL2","guam","race","L2","w","y","Lepidoptera",5,2018-01-12,2018-01-15,3,"Lepid"
"140",1734,"GuamRacetrackL3","guam","race","L3","y","y","Apoidea",5,2018-01-12,2018-01-15,3,"Apoid"
"141",1798,"GuamRacetrackL3","guam","race","L3","b","w","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"142",2578,"GuamSblasL1","guam","sblas","L1","w","y","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"143",2604,"GuamSblasL1","guam","sblas","L1","w","b","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"144",3056,"GuamSblasL3","guam","sblas","L3","w","y","Diptera",5,2018-01-12,2018-01-15,3,"Dipte"
"145",3062,"GuamSblasL3","guam","sblas","L3","w","y","Lepidoptera",5,2018-01-12,2018-01-15,3,"Lepid"
"146",3408,"SaipanForbiAL2","saipan","forbia","L2","b","y","Hemiptera",5,2018-01-17,2018-01-20,3,"Hemip"
"147",3465,"SaipanForbiAL2","saipan","forbia","L2","w","y","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"148",3556,"SaipanForbiAL2","saipan","forbia","L2","r","r","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"149",3576,"SaipanForbiAL3","saipan","forbia","L3","r","b","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"150",3602,"SaipanForbiAL3","saipan","forbia","L3","r","r","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"151",3775,"SaipanForbiGridL1","saipan","forbig","L1","y","b","Apoidea",5,2018-01-17,2018-01-20,3,"Apoid"
"152",3855,"SaipanForbiGridL1","saipan","forbig","L1","b","r","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"153",3862,"SaipanForbiGridL1","saipan","forbig","L1","r","r","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"154",3915,"SaipanForbiGridL1","saipan","forbig","L1","r","y","Hemiptera",5,2018-01-17,2018-01-20,3,"Hemip"
"155",4161,"SaipanForbiGridL2","saipan","forbig","L2","r","r","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"156",4375,"SaipanForbiGridL3","saipan","forbig","L3","r","b","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"157",4518,"SaipanLADTAL1","saipan","ladta","L1","r","w","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"158",4629,"SaipanLADTAL2","saipan","ladta","L2","y","r","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"159",4672,"SaipanLADTAL2","saipan","ladta","L2","b","w","Apoidea",5,2018-01-17,2018-01-20,3,"Apoid"
"160",4726,"SaipanLADTAL2","saipan","ladta","L2","w","w","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"161",4761,"SaipanLADTAL2","saipan","ladta","L2","r","b","Coleoptera",5,2018-01-17,2018-01-20,3,"Coleo"
"162",5006,"SaipanLadtgL1","saipan","ladtg","L1","b","w","Diptera",5,NA,NA,NA,"Dipte"
"163",5192,"SaipanLadtgL1","saipan","ladtg","L1","w","y","Apoidea",5,NA,NA,NA,"Apoid"
"164",5227,"SaipanLADTGL2","saipan","ladtg","L2","b","b","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"165",5305,"SaipanLADTGL2","saipan","ladtg","L2","b","w","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"166",5357,"SaipanLADTGL2","saipan","ladtg","L2","w","b","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"167",5361,"SaipanLADTGL2","saipan","ladtg","L2","w","b","Apoidea",5,2018-01-17,2018-01-20,3,"Apoid"
"168",5422,"SaipanLadtgL3","saipan","ladtg","L3","r","r","Diptera",5,NA,NA,NA,"Dipte"
"169",5461,"SaipanLadtgL3","saipan","ladtg","L3","r","y","Diptera",5,NA,NA,NA,"Dipte"
"170",5474,"SaipanLadtgL3","saipan","ladtg","L3","b","b","Diptera",5,NA,NA,NA,"Dipte"
"171",5478,"SaipanLadtgL3","saipan","ladtg","L3","b","b","Apoidea",5,NA,NA,NA,"Apoid"
"172",5530,"SaipanLadtgL3","saipan","ladtg","L3","y","y","Apoidea",5,NA,NA,NA,"Apoid"
"173",5539,"SaipanLadtgL3","saipan","ladtg","L3","y","r","Diptera",5,NA,NA,NA,"Dipte"
"174",5552,"SaipanLadtgL3","saipan","ladtg","L3","y","b","Diptera",5,NA,NA,NA,"Dipte"
"175",5896,"SaipanMTRLL2","saipan","mtrl","L2","w","r","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"176",5909,"SaipanMTRLL2","saipan","mtrl","L2","y","r","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"177",5922,"SaipanMTRLL2","saipan","mtrl","L2","w","w","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"178",5935,"SaipanMTRLL2","saipan","mtrl","L2","w","b","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"179",6013,"SaipanMTRLL2","saipan","mtrl","L2","y","y","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"180",66,"GuamAnaoL1","guam","anao","L1","r","b","Diptera",4,2018-01-12,2018-01-15,3,"Dipte"
"181",95,"GuamAnaoL1","guam","anao","L1","r","w","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"182",859,"GuamNblasL2","guam","nblas","L2","r","w","Diptera",4,2018-01-12,2018-01-15,3,"Dipte"
"183",1187,"GuamNblasL3","guam","nblas","L3","y","y","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"184",1405,"GuamRacetrackL1","guam","race","L1","y","w","Diptera",4,2018-01-12,2018-01-15,3,"Dipte"
"185",1408,"GuamRacetrackL1","guam","race","L1","y","w","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"186",1414,"GuamRacetrackL1","guam","race","L1","y","w","Isoptera",4,2018-01-12,2018-01-15,3,"Isopt"
"187",1535,"GuamRacetrackL2","guam","race","L2","y","r","Diptera",4,2018-01-12,2018-01-15,3,"Dipte"
"188",1548,"GuamRacetrackL2","guam","race","L2","y","w","Diptera",4,2018-01-12,2018-01-15,3,"Dipte"
"189",1574,"GuamRacetrackL2","guam","race","L2","w","r","Diptera",4,2018-01-12,2018-01-15,3,"Dipte"
"190",1590,"GuamRacetrackL2","guam","race","L2","w","w","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"191",1733,"GuamRacetrackL3","guam","race","L3","y","y","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"192",1850,"GuamRacetrackL3","guam","race","L3","r","b","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"193",2370,"GuamRitiL3","guam","riti","L3","b","w","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"194",2968,"GuamSblasL3","guam","sblas","L3","r","r","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"195",2981,"GuamSblasL3","guam","sblas","L3","r","w","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"196",3257,"SaipanForbiAL1","saipan","forbia","L1","b","r","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"197",3283,"SaipanForbiAL1","saipan","forbia","L1","w","w","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"198",3400,"SaipanForbiAL2","saipan","forbia","L2","y","r","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"199",3433,"SaipanForbiAL2","saipan","forbia","L2","b","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"200",3459,"SaipanForbiAL2","saipan","forbia","L2","w","y","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"201",3485,"SaipanForbiAL2","saipan","forbia","L2","w","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"202",3589,"SaipanForbiAL3","saipan","forbia","L3","r","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"203",3745,"SaipanForbiAL3","saipan","forbia","L3","y","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"204",3771,"SaipanForbiGridL1","saipan","forbig","L1","y","b","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"205",3801,"SaipanForbiGridL1","saipan","forbig","L1","y","w","Apoidea",4,2018-01-17,2018-01-20,3,"Apoid"
"206",3829,"SaipanForbiGridL1","saipan","forbig","L1","b","b","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"207",3840,"SaipanForbiGridL1","saipan","forbig","L1","r","w","Apoidea",4,2018-01-17,2018-01-20,3,"Apoid"
"208",3863,"SaipanForbiGridL1","saipan","forbig","L1","r","r","Hemiptera",4,2018-01-17,2018-01-20,3,"Hemip"
"209",4044,"SaipanForbiGridL2","saipan","forbig","L2","b","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"210",4083,"SaipanForbiGridL2","saipan","forbig","L2","w","b","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"211",4127,"SaipanForbiGridL2","saipan","forbig","L2","r","y","Crabronidae",4,2018-01-17,2018-01-20,3,"Crabr"
"212",4226,"SaipanForbiGridL3","saipan","forbig","L3","r","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"213",4356,"SaipanForbiGridL3","saipan","forbig","L3","y","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"214",4460,"SaipanLADTAL1","saipan","ladta","L1","b","y","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"215",4596,"SaipanLADTAL2","saipan","ladta","L2","y","y","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"216",4635,"SaipanLADTAL2","saipan","ladta","L2","y","r","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"217",4646,"SaipanLADTAL2","saipan","ladta","L2","b","y","Apoidea",4,2018-01-17,2018-01-20,3,"Apoid"
"218",4647,"SaipanLADTAL2","saipan","ladta","L2","b","y","Crabronidae",4,2018-01-17,2018-01-20,3,"Crabr"
"219",4655,"SaipanLADTAL2","saipan","ladta","L2","b","b","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"220",4674,"SaipanLADTAL2","saipan","ladta","L2","b","w","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
